address,city,name,state,type,x,y,zip,first_appearance,final_appearance,block_fips,tract_fips
1605 S. 93rd St. ,Seattle,Baron Brewing,WA,MicroBrewery,-122.31218071,47.5186929471,98108,2006,2013,530330264001029,53033026400
1550 NW 49th St.,Seattle,Hilliard's Beer,WA,MicroBrewery,-122.377659,47.6646,98107,2013,2015,530330047002026,53033004700
1550 NW 49th St.,Ballard,Hilliard's Beer,WA,MicroBrewery,-122.377659,47.6646,98107,2012,2012,530330047002026,53033004700
4730 University Village Place NE ,Seattle,Ram Restaurant & Brewery,WA,BrewPub,-122.2993755,47.6618612,98105,2005,2005,530330043011014,53033004301
4730 University Village Plaza NE,Seattle,Ram Restaurant & Brewery,WA,BrewPub,-122.29978323,47.6634147757,98105,2006,2008,530330043011012,53033004301
2650 University Village,Seattle,Ram Restaurant & Brewery,WA,BrewHouse,-122.299387,47.663431,98105,2009,2015,530330043011012,53033004301
2106 North 55th Street ,Seattle,Elysian TangleTown Brewery ,WA,BrewPub,-122.3335032,47.6688073,98103,2005,2005,530330046002008,53033004600
3601 Fremont Ave. N. ,Seattle,Dad Watsons ,WA,BrewPub,-122.349824347,47.6514759118,98103,2006,2011,530330049002011,53033004900
3601 Fremont Avenue North ,Seattle,Dad Watsons ,WA,BrewPub,-122.350157,47.651635,98103,2005,2005,530330049003012,53033004900
2106 N. 55th St. ,Seattle,Elysian TangleTown Brewery ,WA,BrewPub,-122.333581671,47.6687650825,98103,2006,2015,530330046002008,53033004600
"600 Pine St., 4th Floor",Seattle,Gordon Biersch Brewery Restaurant ,WA,BrewPub,-122.33528516,47.6124499971,98101,2006,2015,530330082001002,53033008200
1415 1st Ave. ,Seattle,Pike Pub & Brewery ,WA,BrewPub,-122.339247378,47.6080905699,98101,2006,2015,530330081003003,53033008100
"600 Pine Street, 4th Floor",Seattle,Gordon Biersch Brewery Restaurant ,WA,BrewPub,-122.3354092,47.6125141,98101,2005,2005,530330082001002,53033008200
1415 1st Avenue ,Seattle,Pike Pub & Brewery ,WA,BrewPub,-122.3397797,47.6082134,98101,2005,2005,530330081003004,53033008100
1408 Lake Tapps Pkwy E.,Auburn,Rock Wood Fired Pizza & Spirits,WA,BrewPub,-122.2100316,47.2445899,98092,2005,2005,530530703161007,53053070316
1408 Lake Tapps Pkwy E.,Sumner,Rock Wood Fired Pizza & Spirits,WA,BrewPub,-122.213973999,47.2438498721,98092,2006,2006,530530703161007,53053070316
17825 NE 65th Street ,Redmond,Mac & Jack's Brewery,WA,MicroBrewery,-122.1025491,47.6637249,98052,2005,2005,530330323132043,53033032313
17825 NE 65th St. ,Redmond,Mac & Jack's Brewery,WA,MicroBrewery,-122.102559669,47.6636409497,98052,2006,2015,530330323132043,53033032313
4010 196th St. SW,Lynnwood,Rock Wood Fired Pizza & Spirits,WA,BrewPub,-122.287733911,47.8207578056,98036,2006,2006,530610514001004,53061051400
4010 196th Street SW,Lynnwood,Rock Wood Fired Pizza & Spirits,WA,BrewPub,-122.2876718,47.8205144,98036,2005,2005,530610514001004,53061051400
550 106th Avenue NE ,Bellevue,Rock Bottom Restaurant & Brewery ,WA,BrewPub,-122.197928,47.6154416,98004,2005,2005,530330238042003,53033023804
550 106th Ave. NE ,Bellevue,Rock Bottom Restaurant & Brewery ,WA,BrewPub,-122.198724095,47.6152338312,98004,2006,2015,530330238042003,53033023804
2141 SW 1st St.,Redmond,Cascade Lakes Brewing Co.,OR,MicroBrewery,-121.167691338,44.2556785767,97756,2009,2015,410170009001003,41017000900
2141 SW First St.,Redmond,Cascade Lakes Brewing Co.,OR,MicroBrewery,-121.1693943,44.2561055,97756,2005,2008,410170009001018,41017000900
384 SW Upper Terrace,Bend,Old Mill Brew Werks,OR,BrewHouse,-121.310773,44.046569,97702,2012,2014,410170015005078,41017001500
803 SW Industrial Way,Bend,Old Mill Brew Werks,OR,BrewPub,-121.318006,44.049954,97702,2015,2015,410170015005073,41017001500
118 E. 8th St.,Medford,Bricktowne Brewing Co.,OR,BrewPub,-122.872069,42.325385,97504,2012,2014,410290001002046,41029000100
44 S. Central Ave.,Medford,Bricktowne Brewing Co.,OR,BrewPub,-122.8719069,42.3256491,97501,2015,2015,410290001002047,41029000100
481 Industrial Drive,Roseburg,Hawks Brewing Co.,OR,MicroBrewery,-123.3777065,43.1520788,97470,2005,2005,410191500001051,41019150000
481 Industrial Dr.,Roseburg,Hawks Brewing Co.,OR,MicroBrewery,-123.377486753,43.1519273124,97470,2006,2007,410191500001051,41019150000
2037 Sherman Ave.,North Bend,Roger's Zoo & Pizzeratorium,OR,BrewPub,-124.223966384,43.4061825157,97459,2006,2011,410110003001009,41011000300
2037 Sherman Avenue,North Bend,Roger's Zoo & Pizzeratorium,OR,BrewPub,-124.2240186,43.4062273,97459,2005,2005,410110003001009,41011000300
16279 Highway 101 South,Brookings-Harbor,Wild River Pizza,OR,BrewHouse,-124.2348,42.1311,97415,2008,2013,410159503012044,41015950301
16279 Highway 101 South,Brookings,Wild River Pizza,OR,BrewHouse,-124.2348,42.1311,97415,2014,2015,410159503012044,41015950301
2320 OSU Drive ,Newport,Brewer's on the Bay,OR,BrewPub,-124.0524032,44.6202579,97365,2005,2005,410419512002000,41041951200
2320 OSU Dr. ,Newport,Brewer's on the Bay,OR,BrewPub,-124.04745918,44.6225841915,97365,2006,2015,410419512002001,41041951200
341 SW 2nd,Corvallis,Oregon Trail Brewery,OR,MicroBrewery,-123.26097,44.5612532,97339,2005,2005,410030106001042,41003010600
341 SW 2nd St.,Corvallis,Oregon Trail Brewery,OR,MicroBrewery,-123.261202972,44.5616438722,97339,2006,2015,410030106001077,41003010600
836 N. Russell St. ,Portland,White Eagle Saloon,OR,BrewPub,-122.674978725,45.540702964,97227,2006,2015,410510023031011,41051002303
836 N. Russell Street ,Portland,White Eagle Saloon,OR,BrewPub,-122.6754525,45.540756,97227,2005,2005,410510023031011,41051002303
4495 SW Scholls Ferry Rd. ,Portland,Raleigh Hills Pub ,OR,BrewPub,-122.747230344,45.4880173393,97225,2006,2015,410670303002006,41067030300
4495 SW Scholls Ferry Road ,Portland,Raleigh Hills Pub ,OR,BrewPub,-122.7475,45.487402,97225,2005,2005,410670303002006,41067030300
12105 N. Center Avenue ,Portland,BJ's Restaurant and Brewery,OR,BrewPub,-122.6802985,45.6105268,97217,2005,2005,410510072011044,41051007201
12105 N. Center Ave. ,Portland,BJ's Restaurant and Brewery,OR,BrewPub,-122.679899328,45.6131237912,97217,2006,2015,410510072011043,41051007201
915 SE Hawthorne Blvd. ,Portland,Lucky Labrador Brewpub,OR,BrewPub,-122.656086797,45.5122594295,97214,2006,2015,410510011011184,41051001101
915 SE Hawthorne Boulevard ,Portland,Lucky Labrador Brewpub,OR,BrewPub,-122.6562754,45.5124139,97214,2005,2005,410510011011184,41051001101
2705 SE Ankeny St.,Portland,Coalition Brewing Co.,OR,Brewery,-122.638049,45.522376,97214,2015,2015,410510020004007,41051002000
2724 SE Ankeny St.,Portland,Coalition Brewing Co.,OR,BrewPub,-122.637976,45.521998,97214,2011,2014,410510020004016,41051002000
4765 NE Fremont St.,Portland,Alameda Brewhouse,OR,BrewPub,-122.613794339,45.5484734835,97213,2012,2015,410510075002012,41051007500
4765 NE Fremont ,Portland,Alameda Brewhouse,OR,BrewPub,-122.613645,45.5484823,97213,2005,2011,410510075002012,41051007500
1728 NE 40th Avenue ,Portland,Laurelwood Public House & Brewery ,OR,BrewPub,-122.6217602,45.5357234,97212,2005,2005,410510027021047,41051002702
1728 NE 40th Ave. ,Portland,Laurelwood Public House & Brewery ,OR,BrewPub,-122.621414203,45.5354350801,97212,2006,2015,410510027021046,41051002702
1616 NW 23rd  Ave. ,Portland,New Old Lompoc Pub & Brewery ,OR,BrewPub,-122.698289931,45.5341723695,97210,2006,2012,410510049001005,41051004900
1616 NW 23rd  Avenue ,Portland,New Old Lompoc Pub & Brewery ,OR,BrewPub,-122.698466,45.534297,97210,2005,2005,410510049001005,41051004900
1624 NW Glisan St.,Portland,Mission Theater & Pub,OR,BrewHouse,-122.687278718,45.5261052318,97209,2010,2015,410510050001112,41051005000
1313 NW Marshall St. ,Portland,BridgePort Brewpub,OR,BrewPub,-122.684317163,45.5308410743,97209,2006,2015,410510050001065,41051005000
1624 NW Glisan,Portland,Mission Theater & Pub,OR,BrewPub,-122.688113,45.526201,97209,2005,2009,410510050001111,41051005000
432 NW 21st St. ,Portland,Blue Moon Tavern & Grill ,OR,BrewPub,-122.693901168,45.5257090009,97209,2006,2015,410510048003003,41051004800
1313 NW Marshall Street ,Portland,BridgePort Brewpub,OR,BrewPub,-122.6852592,45.5309456,97209,2005,2005,410510050001064,41051005000
432 NW 21st Street ,Portland,Blue Moon Tavern & Grill ,OR,BrewPub,-122.6941044,45.526196,97209,2005,2005,410510048003003,41051004800
711 SW Ankeny Street ,Portland,Tugboat Brewing Company ,OR,BrewPub,-122.6779211,45.5225948,97205,2005,2005,410510106001016,41051010600
711 SW Ankeny St. ,Portland,Tugboat Brewing Company ,OR,BrewPub,-122.677498819,45.5226035012,97205,2006,2015,410510106001002,41051010600
206 SW Morrison St.,Portland,Rock Bottom Restaurant & Brewery ,OR,BrewPub,-122.67473,45.518023,97204,2012,2015,410510106003051,41051010600
210 SW Morrison St.,Portland,Rock Bottom Restaurant & Brewery ,OR,BrewPub,-122.6747299,45.5178108,97204,2005,2011,410510106003051,41051010600
4509 SE 23rd Ave. ,Portland,Hair of the Dog Brewing Company ,OR,MicroBrewery,-122.642655373,45.4899904985,97202,2006,2011,410510003012033,41051000301
6410 SE Milwaukie Avenue,Portland,Philadelphia's Steaks & Hoagies,OR,BrewPub,-122.6488352,45.4762533,97202,2005,2005,410510002002023,41051000200
6410 SE Milwaukie Ave.,Portland,Philadelphia's Steaks & Hoagies,OR,BrewPub,-122.648680492,45.4765994314,97202,2006,2015,410510002002023,41051000200
4509 SE 23rd Avenue ,Portland,Hair of the Dog Brewing Company ,OR,MicroBrewery,-122.6425292,45.4900834,97202,2005,2005,410510003012033,41051000301
307 SW Montgomery St. ,Portland,Full Sail at Riverplace ,OR,BrewPub,-122.672922324,45.5093829084,97201,2006,2015,410510057003001,41051005700
307 SW Montgomery Street ,Portland,Full Sail at Riverplace ,OR,BrewPub,-122.6737808,45.509638,97201,2005,2005,410510057003007,41051005700
1909 Second St.,Tillamook,De Garde Brewing,OR,Brewery,-123.844458,45.457049,97141,2015,2015,410579605001098,41057960500
1014 Stillwell Ave.,Tillamook,De Garde Brewing,OR,MicroBrewery,-123.84607,45.450975,97141,2014,2014,410579605003011,41057960500
980 NE. 4th St.,McMinnville,Golden Valley Brewery,OR,BrewPub,-123.188851583,45.2105629094,97128,2006,2015,410710308012089,41071030801
980 E. 4th,McMinnville,Golden Valley Brewery,OR,BrewPub,-123.1890153,45.2102673,97128,2005,2005,410710308012089,41071030801
10000 NW Old Cornelius Pass Rd. ,Hillsboro,Rock Creek Tavern ,OR,BrewPub,-122.873096017,45.5924231471,97124,2006,2015,410670315092004,41067031509
4045 NW Cornelius Pass Rd. ,Hillsboro,Cornelius Pass Roadhouse ,OR,BrewPub,-122.900166324,45.5490531911,97124,2006,2015,410670326071075,41067032607
10000 NW Old Cornelius Pass Road ,Hillsboro,Rock Creek Tavern ,OR,BrewPub,-122.8729884,45.5918148,97124,2005,2005,410670315092013,41067031509
4045 NW Cornelius Pass Road ,Hillsboro,Cornelius Pass Roadhouse ,OR,BrewPub,-122.9004755,45.5490951,97124,2005,2005,410670326071075,41067032607
2090 SW Eighth Avenue ,West Linn,McMenamins West Linn,OR,BrewPub,-122.6521883,45.3461139,97068,2005,2005,410050207002007,41005020700
2090 SW 8th Ave. ,West Linn,McMenamins West Linn,OR,BrewPub,-122.652049801,45.3459122969,97068,2010,2015,410050207002017,41005020700
2090 SW Eighth Ave. ,West Linn,McMenamins West Linn,OR,BrewPub,-122.652049801,45.3459122969,97068,2006,2009,410050207002017,41005020700
102 9th Street ,Oregon City,McMenamins Oregon City,OR,BrewPub,-122.6069778,45.3592618,97045,2005,2005,410050224005007,41005022400
102 9th St. ,Oregon City,McMenamins Oregon City,OR,BrewPub,-122.607068058,45.3592582328,97045,2006,2015,410050224005007,41005022400
4225 SE 182nd St.,Gresham,Highland Pub & Brewery ,OR,BrewPub,-122.47551498,45.4919870154,97030,2010,2015,410510098031007,41051009803
333 N. Main Ave.,Gresham,Main Street Ale House,OR,BrewPub,-122.430732917,45.4997735696,97030,2006,2008,410510100012020,41051010001
4225 SE 182nd ,Gresham,Highland Pub & Brewery ,OR,BrewPub,-122.4757774,45.4915177,97030,2005,2009,410510098034000,41051009803
333 North Main Ave.,Gresham,Main Street Ale House,OR,BrewPub,-122.4309806,45.5002633,97030,2005,2005,410510100013043,41051010001
9757 SE Sunnyside Rd. ,Clackamas,McMenamins Sunnyside,OR,BrewPub,-122.563089978,45.433505335,97015,2006,2015,410050222051012,41005022205
9757 SE Sunnyside Road ,Clackamas,McMenamins Sunnyside,OR,BrewPub,-122.5633108,45.4338074,97015,2005,2005,410050222051012,41005022205
2927 SW Cedar Hills Boulevard ,Beaverton,McMenamins Cedar Hills ,OR,BrewPub,-122.8092536,45.4990655,97005,2005,2005,410670314021000,41067031402
2927 SW Cedar Hills Blvd. ,Beaverton,McMenamins Cedar Hills ,OR,BrewPub,-122.807935987,45.4981926443,97005,2006,2015,410670314021000,41067031402
19400 Kaumualii Highway,Waimea,Waimea Brewing Co.,HI,BrewPub,-159.675325155,21.9595592443,96796,2006,2006,150070409003005,15007040900
9400 Kaumualii Highway,"Waimea, Kauai",Waimea Brewing Co.,HI,BrewPub,-159.6760337,21.9594716,96796,2005,2005,150070409003004,15007040900
9400 Kaumualii Highway,Waimea,Waimea Brewing Co.,HI,BrewPub,-159.675325155,21.9595592443,96796,2007,2012,150070409003005,15007040900
2976 Aukele St.,"Lihue, Kauai",Keoki Brewing Co.,HI,MicroBrewery,-159.355987,21.965809,96766,2005,2005,150070405001004,15007040500
2976 Aukele St.,Lihue,Keoki Brewing Co.,HI,MicroBrewery,-159.356752499,21.9676138033,96766,2006,2010,150070405001006,15007040500
4405 Honoapi'ilani Highway,Lahaina,Maui Brewing Co. Fish & Game Rotisserie,HI,BrewPub,-156.676832485,20.9718193731,96761,2007,2015,150090315022005,15009031502
4405 Honoapi'ilani Highway,Kahana,Maui Brewing Co. Fish & Game Rotisserie,HI,BrewPub,-156.676832485,20.9718193731,96761,2006,2006,150090315022005,15009031502
131 Callahan St.,Etna,Etna Brewing Co.,CA,BrewPub,-122.892840979,41.4573200108,96027,2006,2015,060930008002026,06093000800
131 Callahan Street,Etna,Etna Brewing Co.,CA,BrewPub,-122.891817,41.45699,96027,2005,2005,060930008003110,06093000800
2004 Capitol Avenue ,Sacramento,Rubicon Brewing Company ,CA,BrewPub,-121.4810826,38.5731152,95816,2005,2005,060670012002000,06067001200
2004 Capitol Ave. ,Sacramento,Rubicon Brewing Company ,CA,BrewPub,-121.481325265,38.5731256969,95816,2006,2015,060670012002000,06067001200
7811 Madison ,Citrus Heights,Sacramento Brewing Co.'s Oasis ,CA,BrewPub,-121.2748018,38.6645566,95814,2005,2005,060670081381008,06067008138
1029 K Street ,Sacramento,"Pyramid Alehouse, Brewery & Restaurant ",CA,BrewPub,-121.4929869,38.5791177,95814,2005,2005,060670011011021,06067001101
1029 K St. ,Sacramento,"Pyramid Alehouse, Brewery & Restaurant ",CA,BrewPub,-121.493568922,38.5791518788,95814,2006,2013,060670011011021,06067001101
801 14th St. ,Sacramento,Brew It Up! Personal Brewery & Grill ,CA,BrewPub,-121.486939949,38.5808309928,95814,2006,2011,060670011011001,06067001101
801 14th Street ,Sacramento,Brew It Up! Personal Brewery & Grill ,CA,BrewPub,-121.4866931,38.5807078,95814,2005,2005,060670011011001,06067001101
114 J St. ,Sacramento,Hogshead Brewery & Pub ,CA,BrewPub,-121.505081338,38.5832337178,95814,2006,2006,060670007001019,06067000700
114 J Street ,Sacramento,Hogshead Brewery & Pub ,CA,BrewPub,-121.5049326,38.583107,95814,2005,2005,060670007001019,06067000700
6645 Mill Road,Somerset,El Dorado Brewing Co.,CA,MicroBrewery,-120.559725,38.578366,95684,2005,2005,060170314023160,06017031402
6645 Mill Rd.,Somerset,El Dorado Brewing Co.,CA,MicroBrewery,-120.560895366,38.578221761,95684,2006,2007,060170314023160,06017031402
7811 Madison Ave.,Citrus Heights,Sacramento Brewing Co.'s Oasis ,CA,BrewPub,-121.274563183,38.6639029702,95610,2006,2008,060670081381008,06067008138
101 Taylor Way ,Blue Lake,Mad River Brewing Co.,CA,MicroBrewery,-123.9919289,40.8786025,95525,2011,2015,060230103003049,06023010300
195 Taylor Way ,Arcata,Mad River Brewing Co.,CA,MicroBrewery,-123.99379,40.8787166,95521,2005,2010,060230103003049,06023010300
345 Healdsburg Avenue,Healdsburg,Bear Republic Brewing Co.,CA,BrewPub,-122.870982,38.6112447,95448,2005,2005,060971539021010,06097153902
345 Healdsburg Ave.,Healdsburg,Bear Republic Brewing Co.,CA,BrewPub,-122.870912806,38.6112768903,95448,2006,2015,060971539021010,06097153902
725 4th St.,Santa Rosa,Russian River Brewing Co.,CA,BrewPub,-122.712003795,38.4414280004,95404,2006,2015,060971520001027,06097152000
725 4th Street,Santa Rosa,Russian River Brewing Co.,CA,BrewPub,-122.71165,38.441806,95404,2005,2005,060971520001027,06097152000
2050 Hwy 4,Arnold,Snowshoe Brewing Co.,CA,BrewPub,-120.3616035,38.2423859,95223,2005,2005,060090005011017,06009000501
2050 Highway 4,Arnold,Snowshoe Brewing Co.,CA,BrewPub,-120.368895251,38.2072973733,95223,2006,2015,060090005012003,06009000501
157 W. Adams St.,Stockton,Valley Brewing Co.,CA,MicroBrewery,-121.300100006,37.9727796611,95204,2006,2014,060770013004001,06077001300
157 West Adams Street,Stockton,Valley Brewing Co.,CA,MicroBrewery,-121.300479,37.972719,95204,2005,2005,060770013004001,06077001300
,San Jose,Shizmo Brewing Co. (by appt only),CA,MicroBrewery,-121.894955,37.339386,95128,2012,2012,060855008001000,06085500800
,San Jose,Shizmo Brewing Co. (by appt only),CA,MicroBrewery,-121.894955,37.339386,95128,2014,2014,060855008001000,06085500800
,San Jose,Shizmo Brewing Co. (by appt only),CA,Brewery,-121.894955,37.339386,95128,2015,2015,060855008001000,06085500800
,San Jose,Shizmo Brewing Co. (by appt only),CA,MicroBrewery,-121.894955,37.339386,95128,2013,2013,060855008001000,06085500800
65 N. San Pedro St. ,San Jose,Tied House Cafe & Brewery ,CA,BrewPub,-121.893937338,37.3362011218,95113,2006,2009,060855008001013,06085500800
65 N. San Pedro Street ,San Jose,Tied House Cafe & Brewery ,CA,BrewPub,-121.8937489,37.3362473,95113,2005,2005,060855008001013,06085500800
33 E. San Fernando St. ,San Jose,Gordon Biersch Brewery Restaurant ,CA,BrewPub,-121.888789055,37.3349193183,95113,2006,2015,060855009012003,06085500901
33 E. San Fernando Street ,San Jose,Gordon Biersch Brewery Restaurant ,CA,BrewPub,-121.88863,37.3348003,95113,2005,2005,060855009012003,06085500901
17370 Hill Rd. ,Morgan Hill,El Toro Brewing Co.,CA,MicroBrewery,-121.62255894,37.1456236977,95037,2006,2015,060855123083001,06085512308
17370 Hill Road ,Morgan Hill,El Toro Brewing Co.,CA,MicroBrewery,-121.6218982,37.1464936,95037,2005,2005,060855123083001,06085512308
130 N. Santa Cruz Avenue ,Los Gatos,Los Gatos Brewing Company ,CA,BrewPub,-121.982234,37.225349,95030,2005,2005,060855070011020,06085507001
130 N. Santa Cruz Ave. ,Los Gatos,Los Gatos Brewing Company ,CA,BrewPub,-121.982548219,37.224791712,95030,2006,2015,060855070011052,06085507001
1132 Fourth St. ,San Rafael,Broken Drum Brewery & Wood Grill ,CA,BrewPub,-122.528773852,37.9732492565,94901,2006,2015,060411110001027,06041111000
812 4th St. ,San Rafael,Rafter's Grille & Brewery,CA,BrewPub,-122.524039594,37.9726361609,94901,2006,2009,060411110001023,06041111000
1132 Fourth Street ,San Rafael,Broken Drum Brewery & Wood Grill ,CA,BrewPub,-122.5290004,37.9733896,94901,2005,2005,060411110001027,06041111000
812 4th Street ,San Rafael,Rafter's Grille & Brewery,CA,BrewPub,-122.524119,37.972912,94901,2005,2005,060411110001013,06041111000
901 Gilman St. ,Berkeley,"Pyramid Alehouse, Brewery & Restaurant ",CA,BrewPub,-122.300589777,37.8797093182,94710,2006,2015,060014220002031,06001422000
901 Gilman Street ,Berkeley,"Pyramid Alehouse, Brewery & Restaurant ",CA,BrewPub,-122.3002697,37.8795972,94710,2005,2005,060014220002032,06001422000
2598 Telegraph Avenue ,Berkeley,Bison Brewing ,CA,MicroBrewery,-122.2589055,37.8633312,94704,2005,2005,060014236021008,06001423602
2598 Telegraph Ave. ,Berkeley,Bison Brewing ,CA,MicroBrewery,-122.259387697,37.8632985397,94704,2006,2012,060014236021007,06001423602
906 Washington St. ,Oakland,Pacific Coast Brewing Company ,CA,BrewPub,-122.274749806,37.8018578233,94607,2006,2015,060014031001018,06001403100
906 Washington Street ,Oakland,Pacific Coast Brewing Company ,CA,BrewPub,-122.2741712,37.8015344,94607,2005,2005,060014031001017,06001403100
1536 Cypress St.,Walnut Creek,"Pyramid Alehouse, Brewery & Restaurant ",CA,BrewPub,-122.0615739,37.8990837,94596,2005,2008,060133390021015,06013339002
1410 Locust St.,Walnut Creek,"Pyramid Alehouse, Brewery & Restaurant ",CA,BrewPub,-122.061944,37.899125,94596,2009,2015,060133390021015,06013339002
3020 N. St. Helena Hwy,St. Helena,Silverado Brewing Co.,CA,BrewPub,-122.49710301,38.524474015,94574,2006,2012,060552015001005,06055201500
3020 Hwy 29,St. Helena,Silverado Brewing Co.,CA,BrewPub,-122.496925,38.5242872,94574,2005,2005,060552015001005,06055201500
830 Main Street ,Pleasanton,Main Street Brewery ,CA,BrewPub,-121.8737386,37.6645095,94566,2005,2005,060014506072000,06001450607
830 Main St. ,Pleasanton,Main Street Brewery ,CA,BrewPub,-121.874152755,37.6645397623,94566,2006,2015,060014506072002,06001450607
1082 B St. ,Hayward,Buffalo Bill's Brewery,CA,BrewPub,-122.081480364,37.6740898296,94541,2006,2015,060014354002019,06001435400
1082 B Street ,Hayward,Buffalo Bill's Brewery,CA,BrewPub,-122.0815232,37.673993,94541,2005,2005,060014354002019,06001435400
